Time,HCHO_Concentration
0,0.00
86400,73.12
259200,80.60
432000,102.72
604800,90.11
864000,102.40
1209600,128.44
1468800,137.02
1814400,140.24
2073600,152.59
2419200,142.54
2426400,103.79
2430000,86.31
2444400,92.91
2505600,86.79
2678400,74.08
3024000,72.98
