Time,HCHO_Concentration
0,0
86400,31.57
259200,32.21
432000,36.56
604800,37.72
864000,42.24
1209600,43.72
1468800,42.37
1814400,49.55
2073600,51.95
2419200,57.86
2426400,37.10
2437200,32.98
2455200,34.90
2505600,36.55
2678400,30.68
3024000,30.62
